Ano;Sigla;IGC (Contínuo);IGC (Faixa)
2021;CEFET-RJ;;
2021;CEFET-RJ;2837679013;3
2021;CEFET-RJ;3553983939;4
2021;CEFET-RJ;2863039275;3
2021;CEFET-RJ;3506946459;4
2021;CEFET-RJ;405079264;5
2021;CEFET-RJ;3488239617;4
2021;CEFET-RJ;2622672816;3
2021;CEFET-RJ;3042680337;4
2021;CEFET-RJ;2661805133;3
2021;CEFET-RJ;3291531494;4
2021;CEFET-RJ;3906819271;4
2021;CEFET-RJ;3292811579;4
2021;CEFET-RJ;2403153013;3
2021;CEFET-RJ;2492294448;3
2021;CEFET-RJ;3089183416;4
2021;CEFET-RJ;2940779387;3
2021;CEFET-RJ;3027673073;4
2021;CEFET-RJ;2536784039;3
2021;CEFET-RJ;356986275;4
2021;CEFET-RJ;3189843941;4
2021;CEFET-RJ;3490974306;4
2021;CEFET-RJ;3491957869;4
2021;CEFET-RJ;2835568588;3
2021;CEFET-RJ;3335696579;4
2021;CEFET-RJ;3222894241;4
2021;CEFET-RJ;4300489861;5
2021;CEFET-RJ;400329495;5
2021;CEFET-RJ;3273782929;4
2021;CEFET-RJ;2849209604;3
2021;CEFET-RJ;2890119389;3
2021;CEFET-RJ;3941658713;4
2021;CEFET-RJ;2339542225;3
2021;CEFET-RJ;4165353459;5
2021;CEFET-RJ;3373048788;4
2021;CPII;4058092028;5
2021;CPII;2328300919;3
2021;CPII;2890119389;3
2021;CPII;2339542225;3
2021;CPII;4027566597;5
2021;CPII;3234727942;4
2021;CPII;2210827218;3
2021;CPII;2923411951;3
2021;CPII;2622672816;3
2021;CPII;4076238557;5
2021;CPII;2688384493;3
2021;CPII;3048186625;4
2021;CPII;2960656557;4
2021;CPII;2856866334;3
2021;CPII;3883235013;4
2021;CPII;3278240164;4
2021;CPII;3307692363;4
2021;CPII;2940779387;3
2021;CPII;3553983939;4
2021;CPII;2641762914;3
2021;CPII;2825584097;3
2021;CPII;356986275;4
2021;CPII;3273782929;4
2021;CPII;2845015305;3
2021;CPII;3126550894;4
2021;CPII;3236517674;4
2021;CPII;3831764174;4
2021;CPII;336759351;4
2021;CPII;3042680337;4
2021;CPII;3266043925;4
2021;CPII;3573005406;4
2021;CPII;3441288643;4
2021;CPII;3620471285;4
2021;CPII;3997807128;5
2021;CPII;306536013;4
2021;CPII;4302484121;5
2021;CPII;400329495;5
2021;CPII;2849209604;3
2021;CPII;2965590173;4
2021;CPII;3189843941;4
2021;CPII;313265412;4
2021;CPII;414065135;5
2021;CPII;3490974306;4
2021;CPII;3506472556;4
2021;CPII;4123139024;5
2021;CPII;2850843609;3
2021;CPII;3508512042;4
2021;CPII;2496716327;3
2021;CPII;2695885804;3
2021;CPII;3324348627;4
2021;CPII;3512451573;4
2021;CPII;;
2021;CPII;3576490485;4
2021;CPII;3102641944;4
2021;CPII;3941658713;4
2021;CPII;3373048788;4
2021;CPII;2403153013;3
2021;CPII;2988914465;4
2021;CPII;2492294448;3
2021;CPII;4300489861;5
2021;CPII;2849506487;3
2021;CPII;3089183416;4
2021;CPII;3722787753;4
2021;CPII;293390235;3
2021;CPII;3488239617;4
2021;CPII;3027673073;4
2021;CPII;3509478483;4
2021;CPII;4165353459;5
2021;CPII;2245888744;3
2021;CPII;3906819271;4
2021;CPII;3051728893;4
2021;CPII;3292811579;4
2021;CPII;2430536858;3
2021;CPII;335249821;4
2021;CPII;2997071468;4
2021;CPII;2536784039;3
2021;CPII;3017890085;4
2021;CPII;2837679013;3
2021;CPII;2887219177;3
2021;CPII;3491957869;4
2021;CPII;2661805133;3
2021;CPII;2835568588;3
2021;CPII;3377704888;4
2021;CPII;3512507192;4
2021;CPII;3506946459;4
2021;CPII;3708137018;4
2021;CPII;3222894241;4
2021;CPII;3291531494;4
2021;CPII;3114109;4
2021;CPII;3225937454;4
2021;CPII;3729463207;4
2021;CPII;3549260646;4
2021;CPII;405079264;5
2021;CPII;3324683138;4
2021;CPII;4081073545;5
2021;CPII;2863039275;3
2021;CPII;3611112844;4
2021;CPII;3335696579;4
2021;CPII;3390293399;4
2021;CPII;2927776053;3
2021;CPII;3612885813;4
2021;CPII;334620836;4
2021;CPII;2732657196;3
2021;CPII;3846247682;4
2021;FURG;313265412;4
2021;FURG;3114109;4
2021;FURG;335249821;4
2021;FURG;2863039275;3
2021;FURG;3324348627;4
2021;FURG;2997071468;4
2021;FURG;3611112844;4
2021;FURG;2856866334;3
2021;FURG;3051728893;4
2021;FURG;4076238557;5
2021;FURG;3017890085;4
2021;FURG;4302484121;5
2021;FURG;2849209604;3
2021;FURG;2845015305;3
2021;FURG;4027566597;5
2021;FURG;4165353459;5
2021;FURG;2430536858;3
2021;FURG;3490974306;4
2021;FURG;3708137018;4
2021;FURG;3027673073;4
2021;FURG;356986275;4
2021;FURG;3189843941;4
2021;FURG;3906819271;4
2021;FURG;2850843609;3
2021;FURG;3373048788;4
2021;FURG;3488239617;4
2021;FURG;3846247682;4
2021;FURG;3236517674;4
2021;FURG;2245888744;3
