Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);nomeCurso;tipoCurso;tipoEixoTecnologico;SubeixoTecnologico;tipoOferta;turnoCurso;ModalidadeEnsino;nomeFonteFinanciamento;Número de cursos;Número de concluintes;Número de ingressantes;Número de inscritos;Número de Matrículas;Número de vagas;Matrícula Equivalente Apresentada Geral
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Técnico em Eventos;Técnico;Turismo, Hospitalidade e Lazer;Eventos;Integrado;Integral;Educação Presencial;Sem Programa Associado;1;16;20;31;103;35;103,62
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Técnico em Eventos;Técnico;Turismo, Hospitalidade e Lazer;Eventos;Subsequente;Matutino;Educação Presencial;Sem Programa Associado;1;;8;15;36;35;36,22
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Técnico em Eventos;Técnico;Turismo, Hospitalidade e Lazer;Eventos;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;1;4;12;18;28;35;28,17
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Técnico em Eventos;Técnico;Turismo, Hospitalidade e Lazer;Eventos;Subsequente;Vespertino;Educação Presencial;Sem Programa Associado;1;4;10;22;10;40;10,06
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Técnico em Fruticultura;Técnico;Recursos Naturais;Agrícola;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;1;7;66;105;186;70;220,97
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Técnico em Geoprocessamento;Técnico;Infraestrutura;Geomática e Agrimensura;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;1;1;;;74;;89,76
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Técnico em Guia de Turismo;Técnico;Turismo, Hospitalidade e Lazer;Turismo;Subsequente;Matutino;Educação Presencial;Sem Programa Associado;2;1;50;125;81;67;82,3
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Técnico em Guia de Turismo;Técnico;Turismo, Hospitalidade e Lazer;Turismo;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;1;1;;;65;;66,04
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Técnico em Hospedagem;Técnico;Turismo, Hospitalidade e Lazer;Hospitalidade;Subsequente;Vespertino;Educação Presencial;Sem Programa Associado;1;5;26;88;97;30;98,84
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Concomitante;Noturno;Educação Presencial;Sem Programa Associado;2;16;25;55;68;30;71,6
