Ano;Sigla;Área de Avaliação;CPC (Faixa)
2019;CEFET-RJ;ENGENHARIA DA COMPUTAÇÃO;4
2019;CEFET-RJ;ENGENHARIA DA COMPUTAÇÃO;5
2019;CEFET-RJ;ENGENHARIA DE ALIMENTOS;3
2019;CEFET-RJ;ENGENHARIA DE ALIMENTOS;4
2019;CEFET-RJ;ENGENHARIA DE ALIMENTOS;5
2019;CEFET-RJ;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;0
2019;CEFET-RJ;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;3
2019;CEFET-RJ;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;4
2019;CEFET-RJ;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;5
2019;CEFET-RJ;ENGENHARIA DE PRODUÇÃO;3
2019;CEFET-RJ;ENGENHARIA DE PRODUÇÃO;4
2019;CEFET-RJ;ENGENHARIA DE PRODUÇÃO;5
2019;CEFET-RJ;ENGENHARIA ELÉTRICA;0
2019;CEFET-RJ;ENGENHARIA ELÉTRICA;3
2019;CEFET-RJ;ENGENHARIA ELÉTRICA;4
2019;CEFET-RJ;ENGENHARIA ELÉTRICA;5
2019;CEFET-RJ;ENGENHARIA FLORESTAL;2
2019;CEFET-RJ;ENGENHARIA FLORESTAL;3
2019;CEFET-RJ;ENGENHARIA FLORESTAL;4
2019;CEFET-RJ;ENGENHARIA FLORESTAL;5
2019;CEFET-RJ;ENGENHARIA MECÂNICA;2
2019;CEFET-RJ;ENGENHARIA MECÂNICA;3
2019;CEFET-RJ;ENGENHARIA MECÂNICA;4
2019;CEFET-RJ;ENGENHARIA MECÂNICA;5
2019;CEFET-RJ;ENGENHARIA QUÍMICA;3
2019;CEFET-RJ;ENGENHARIA QUÍMICA;4
2019;CEFET-RJ;ENGENHARIA QUÍMICA;5
2019;CEFET-RJ;FARMÁCIA;3
2019;CEFET-RJ;FARMÁCIA;4
2019;CEFET-RJ;FISIOTERAPIA;3
2019;CEFET-RJ;FISIOTERAPIA;4
2019;CEFET-RJ;FISIOTERAPIA;5
2019;CEFET-RJ;FONOAUDIOLOGIA;3
2019;CEFET-RJ;FONOAUDIOLOGIA;4
2019;CEFET-RJ;MEDICINA;2
2019;CEFET-RJ;MEDICINA;3
2019;CEFET-RJ;MEDICINA;4
2019;CEFET-RJ;MEDICINA VETERINÁRIA;2
2019;CEFET-RJ;MEDICINA VETERINÁRIA;3
2019;CEFET-RJ;MEDICINA VETERINÁRIA;4
2019;CEFET-RJ;MEDICINA VETERINÁRIA;5
2019;CEFET-RJ;NUTRIÇÃO;3
2019;CEFET-RJ;NUTRIÇÃO;4
2019;CEFET-RJ;NUTRIÇÃO;5
2019;CEFET-RJ;ODONTOLOGIA;3
2019;CEFET-RJ;ODONTOLOGIA;4
2019;CEFET-RJ;ODONTOLOGIA;5
2019;CEFET-RJ;TECNOLOGIA EM AGRONEGÓCIOS;3
2019;CEFET-RJ;TECNOLOGIA EM AGRONEGÓCIOS;4
2019;CEFET-RJ;TECNOLOGIA EM GESTÃO AMBIENTAL;0
2019;CEFET-RJ;TECNOLOGIA EM GESTÃO AMBIENTAL;3
2019;CEFET-RJ;TECNOLOGIA EM GESTÃO AMBIENTAL;4
2019;CEFET-RJ;TECNOLOGIA EM GESTÃO AMBIENTAL;5
2019;CEFET-RJ;TECNOLOGIA EM GESTÃO HOSPITALAR;3
2019;CEFET-RJ;TECNOLOGIA EM GESTÃO HOSPITALAR;4
2019;CEFET-RJ;TECNOLOGIA EM RADIOLOGIA;3
2019;CEFET-RJ;TECNOLOGIA EM RADIOLOGIA;4
2019;CEFET-RJ;TECNOLOGIA EM SEGURANÇA NO TRABALHO;4
2019;CEFET-RJ;ZOOTECNIA;2
2019;CEFET-RJ;ZOOTECNIA;3
2019;CEFET-RJ;ZOOTECNIA;4
2019;CEFET-RJ;ZOOTECNIA;5
2019;CPII;AGRONOMIA;2
2019;CPII;AGRONOMIA;3
2019;CPII;AGRONOMIA;4
2019;CPII;AGRONOMIA;5
2019;CPII;ARQUITETURA E URBANISMO;3
2019;CPII;ARQUITETURA E URBANISMO;4
2019;CPII;ARQUITETURA E URBANISMO;5
2019;CPII;BIOMEDICINA;3
2019;CPII;BIOMEDICINA;4
2019;CPII;EDUCAÇÃO FÍSICA (BACHARELADO);3
2019;CPII;EDUCAÇÃO FÍSICA (BACHARELADO);4
2019;CPII;ENFERMAGEM;0
2019;CPII;ENFERMAGEM;3
2019;CPII;ENFERMAGEM;4
2019;CPII;ENFERMAGEM;5
2019;CPII;ENGENHARIA AMBIENTAL;0
2019;CPII;ENGENHARIA AMBIENTAL;3
2019;CPII;ENGENHARIA AMBIENTAL;4
2019;CPII;ENGENHARIA AMBIENTAL;5
2019;CPII;ENGENHARIA CIVIL;3
2019;CPII;ENGENHARIA CIVIL;4
2019;CPII;ENGENHARIA CIVIL;5
2019;CPII;ENGENHARIA DA COMPUTAÇÃO;3
2019;CPII;ENGENHARIA DA COMPUTAÇÃO;4
2019;CPII;ENGENHARIA DA COMPUTAÇÃO;5
2019;CPII;ENGENHARIA DE ALIMENTOS;3
2019;CPII;ENGENHARIA DE ALIMENTOS;4
2019;CPII;ENGENHARIA DE ALIMENTOS;5
2019;CPII;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;0
2019;CPII;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;3
2019;CPII;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;4
2019;CPII;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;5
2019;CPII;ENGENHARIA DE PRODUÇÃO;3
2019;CPII;ENGENHARIA DE PRODUÇÃO;4
2019;CPII;ENGENHARIA DE PRODUÇÃO;5
2019;CPII;ENGENHARIA ELÉTRICA;0
2019;CPII;ENGENHARIA ELÉTRICA;3
2019;CPII;ENGENHARIA ELÉTRICA;4
2019;CPII;ENGENHARIA ELÉTRICA;5
2019;CPII;ENGENHARIA FLORESTAL;2
2019;CPII;ENGENHARIA FLORESTAL;3
2019;CPII;ENGENHARIA FLORESTAL;4
2019;CPII;ENGENHARIA FLORESTAL;5
2019;CPII;ENGENHARIA MECÂNICA;2
2019;CPII;ENGENHARIA MECÂNICA;3
2019;CPII;ENGENHARIA MECÂNICA;4
2019;CPII;ENGENHARIA MECÂNICA;5
2019;CPII;ENGENHARIA QUÍMICA;3
2019;CPII;ENGENHARIA QUÍMICA;4
2019;CPII;ENGENHARIA QUÍMICA;5
2019;CPII;FARMÁCIA;3
2019;CPII;FARMÁCIA;4
2019;CPII;FISIOTERAPIA;3
2019;CPII;FISIOTERAPIA;4
2019;CPII;FISIOTERAPIA;5
2019;CPII;FONOAUDIOLOGIA;3
2019;CPII;FONOAUDIOLOGIA;4
2019;CPII;MEDICINA;2
2019;CPII;MEDICINA;3
2019;CPII;MEDICINA;4
2019;CPII;MEDICINA VETERINÁRIA;2
2019;CPII;MEDICINA VETERINÁRIA;3
2019;CPII;MEDICINA VETERINÁRIA;4
2019;CPII;MEDICINA VETERINÁRIA;5
2019;CPII;NUTRIÇÃO;3
2019;CPII;NUTRIÇÃO;4
2019;CPII;NUTRIÇÃO;5
2019;CPII;ODONTOLOGIA;3
2019;CPII;ODONTOLOGIA;4
2019;CPII;ODONTOLOGIA;5
2019;CPII;TECNOLOGIA EM AGRONEGÓCIOS;3
2019;CPII;TECNOLOGIA EM AGRONEGÓCIOS;4
