Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);Eficiência Acadêmica | Concluídos;Eficiência Acadêmica | Concluídos %;Eficiência Acadêmica | Índice de Eficiência Acadêmica %;Eficiência Acadêmica | Número de Evadidos;Eficiência Acadêmica | Retidos;Eficiência Acadêmica | Retidos %;Eficiência Acadêmica | Taxa de Evasão %
2017;Norte;AP;Amapá;Institutos Federais, Cefet's e Colégio Pedro II;IFAP;Instituto Federal do Amapá;1997;0,5328175026680897;0,5547222222222222;1603;148;0,03948772678762007;0,4276947705442903
2017;Norte;PA;Pará;Institutos Federais, Cefet's e Colégio Pedro II;IFPA;Instituto Federal do Pará;3207;0,3781393703572692;0,40589798759650675;4694;580;0,06838816177337578;0,553472467869355
2017;Norte;PA;Pará;Universidades Federais;EMUFPA;Universidade Federal do Pará;86;0,524390243902439;0,5341614906832298;75;3;0,018292682926829267;0,4573170731707317
2017;Norte;PA;Pará;Universidades Federais;ETDUFPA;Universidade Federal do Pará;16;0,22535211267605634;0,25;48;7;0,09859154929577464;0,676056338028169
2017;Norte;RO;Rondônia;Institutos Federais, Cefet's e Colégio Pedro II;IFRO;Instituto Federal de Rondônia;2444;0,5467561521252796;0,5690337601862631;1851;175;0,039149888143176735;0,4140939597315436
2017;Norte;RR;Roraima;Institutos Federais, Cefet's e Colégio Pedro II;IFRR;Instituto Federal de Roraima;683;0,36938885884261763;0,4336507936507936;892;274;0,14818820984315847;0,4824229313142239
2017;Norte;RR;Roraima;Universidades Federais;UFRR - EAGRO;Universidade Federal de Roraima;47;0,6811594202898551;0,6911764705882353;21;1;0,014492753623188406;0,30434782608695654
2017;Norte;TO;Tocantins;Institutos Federais, Cefet's e Colégio Pedro II;IFTO;Instituto Federal do Tocantins;1915;0,4137856525496975;0,433454051607062;2503;210;0,045375972342264474;0,540838375108038
2017;Sudeste;ES;Espírito Santo;Institutos Federais, Cefet's e Colégio Pedro II;IFES;Instituto Federal do Espírito Santo;3945;0,5080489375402447;0,5484498818295566;3248;572;0,07366387636831938;0,41828718609143595
2017;Sudeste;MG;Minas Gerais;Institutos Federais, Cefet's e Colégio Pedro II;CEFET-MG;Centro Federal de Educação Tecnológica de Minas Gerais;2087;0,539974126778784;0,579561232990836;1514;264;0,06830530401034929;0,39172056921086673
2017;Sudeste;MG;Minas Gerais;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;2776;0,40478273549139693;0,4508689296735423;3381;701;0,10221638961796442;0,49300087489063865
2017;Sudeste;MG;Minas Gerais;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;2551;0,46764436296975254;0,5047487138899881;2503;401;0,07351054078826764;0,45884509624197983
2017;Sudeste;MG;Minas Gerais;Institutos Federais, Cefet's e Colégio Pedro II;IFNMG;Instituto Federal do Norte de Minas Gerais;2433;0,38668150031786397;0,40563521173724576;3565;294;0,04672600127145582;0,5665924984106803
2017;Sudeste;MG;Minas Gerais;Institutos Federais, Cefet's e Colégio Pedro II;IFSULDEMINAS;Instituto Federal do Sul de Minas Gerais;4643;0,45716817644742025;0,4714184181135141;5206;307;0,030228436392280424;0,5126033871602993
2017;Sudeste;MG;Minas Gerais;Institutos Federais, Cefet's e Colégio Pedro II;IFTM;Instituto Federal do Triângulo Mineiro;1435;0,389945652173913;0,4033164699269252;2123;122;0,03315217391304348;0,5769021739130434
2017;Sudeste;MG;Minas Gerais;Universidades Federais;UFMG - COLTEC;Universidade Federal de Minas Gerais;332;0,7923627684964201;0,7923627684964201;87;;;0,20763723150357996
2017;Sudeste;MG;Minas Gerais;Universidades Federais;UFMG - TU;Universidade Federal de Minas Gerais;17;0,7727272727272727;0,8095238095238095;4;1;0,045454545454545456;0,18181818181818182
2017;Sudeste;MG;Minas Gerais;Universidades Federais;UFTM - CEFORES;Universidade Federal do Triângulo Mineiro;62;0,4626865671641791;0,4732824427480916;69;3;0,022388059701492536;0,5149253731343284
2017;Sudeste;MG;Minas Gerais;Universidades Federais;UFU - ESTES;Universidade Federal de Uberlândia;129;0,6972972972972973;0,7543859649122807;42;14;0,07567567567567568;0,22702702702702704
2017;Sudeste;MG;Minas Gerais;Universidades Federais;UFV - CEDAF;Universidade Federal de Viçosa;304;0,3282937365010799;0,33591160220994476;601;21;0,02267818574514039;0,6490280777537797
2017;Sudeste;RJ;Rio de Janeiro;Institutos Federais, Cefet's e Colégio Pedro II;CEFET-RJ;Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;1023;0,26626756897449244;0,33751237215440444;2008;811;0,21108797501301405;0,5226444560124935
2017;Sudeste;RJ;Rio de Janeiro;Institutos Federais, Cefet's e Colégio Pedro II;CPII;Colégio Pedro II;3688;0,8123348017621146;0,8285778476746799;763;89;0,019603524229074888;0,16806167400881059
2017;Sudeste;RJ;Rio de Janeiro;Institutos Federais, Cefet's e Colégio Pedro II;IFF;Instituto Federal Fluminense;1880;0,3651903651903652;0,398981324278438;2832;436;0,08469308469308469;0,5501165501165501
2017;Sudeste;RJ;Rio de Janeiro;Institutos Federais, Cefet's e Colégio Pedro II;IFRJ;Instituto Federal do Rio de Janeiro;1777;0,3543369890329013;0,38347000431592576;2857;381;0,07597208374875374;0,5696909272183449
2017;Sudeste;RJ;Rio de Janeiro;Universidades Federais;UFRRJ - CTUR;Universidade Federal Rural do Rio de Janeiro;289;0,6509009009009009;0,6705336426914154;142;13;0,02927927927927928;0,31981981981981983
2017;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;16048;0,502835657214476;0,5183964854475563;14909;958;0,03001723327588908;0,46714710950963495
2017;Sul;PR;Paraná;Institutos Federais, Cefet's e Colégio Pedro II;IFPR;Instituto Federal do Paraná;5492;0,4025212547639988;0,4103100485618229;7893;259;0,018982703019642333;0,5784960422163589
2017;Sul;RS;Rio Grande do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IF FARROUPILHA;Instituto Federal Farroupilha;1926;0,4206158549901725;0,4409340659340659;2442;211;0,04607993011574579;0,5333042148940816
2017;Sul;RS;Rio Grande do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFRS;Instituto Federal do Rio Grande do Sul;2223;0,41903864278982095;0,48431372549019613;2367;715;0,1347785108388313;0,4461828463713478
2017;Sul;RS;Rio Grande do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFSUL;Instituto Federal Sul-rio-grandense;2657;0,41104579207920794;0,44194943446440454;3355;452;0,06992574257425743;0,5190284653465347
2017;Sul;RS;Rio Grande do Sul;Universidades Federais;UFSM - CTISM;Universidade Federal de Santa Maria;409;0,49158653846153844;0,4927710843373494;421;2;0,002403846153846154;0,5060096153846154
2017;Sul;RS;Rio Grande do Sul;Universidades Federais;UFSM - POLITÉCNICO;Universidade Federal de Santa Maria;221;0,3733108108108108;0,42015209125475284;305;66;0,11148648648648649;0,5152027027027027
2017;Sul;SC;Santa Catarina;Institutos Federais, Cefet's e Colégio Pedro II;IFC;Instituto Federal Catarinense;2385;0,4844606946983547;0,516345529335354;2234;304;0,06175096485882592;0,4537883404428194
2017;Sul;SC;Santa Catarina;Institutos Federais, Cefet's e Colégio Pedro II;IFSC;Instituto Federal de Santa Catarina;8696;0,465624330691797;0,472069920199772;9725;255;0,013653887342043263;0,5207217819661598
2020;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;3303;0,3881316098707403;0,42779432715969434;4418;789;0,09271445358401881;0,5191539365452409
2020;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;1938;0,41216503615482775;0,4863237139272271;2047;717;0,15248830284985113;0,43534666099532116
2020;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IFG;Instituto Federal de Goiás;1950;0,41524701873935266;0,4719264278799613;2182;564;0,1201022146507666;0,46465076660988075
2020;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;1692;0,34509483989394246;0,3796275521651335;2765;446;0,09096471548031818;0,5639404446257393
2020;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;3855;0,4965224111282844;0,5626094570928196;2997;912;0,11746522411128284;0,38601236476043277
2020;Nordeste;AL;Alagoas;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;2333;0,4428625664388762;0,48930369127516776;2435;500;0,09491268033409264;0,4622247532270311
2020;Nordeste;AL;Alagoas;Universidades Federais;UFAL - ETA;Universidade Federal de Alagoas;53;0,5638297872340425;0,5888888888888889;37;4;0,0425531914893617;0,39361702127659576
2020;Nordeste;BA;Bahia;Institutos Federais, Cefet's e Colégio Pedro II;IF BAIANO;Instituto Federal Baiano;3703;0,527042413891261;0,5738416240508291;2750;573;0,08155422715627669;0,3914033589524623
2020;Nordeste;BA;Bahia;Institutos Federais, Cefet's e Colégio Pedro II;IFBA;Instituto Federal da Bahia;2471;0,3203682095164009;0,41149042464612823;3534;1708;0,22144431479320628;0,45818747569039286
2020;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;8875;0,44158622748532195;0,49675361020933617;8991;2232;0,11105582645039308;0,44735794606428503
2020;Nordeste;MA;Maranhão;Institutos Federais, Cefet's e Colégio Pedro II;IFMA;Instituto Federal do Maranhão;4770;0,4873314262362076;0,62434554973822;2870;2148;0,21945239068246833;0,2932161830813241
2020;Nordeste;MA;Maranhão;Universidades Federais;UFMA - COLUN;Universidade Federal do Maranhão;53;0,6883116883116883;0,7361111111111112;19;5;0,06493506493506493;0,24675324675324675
2020;Nordeste;PB;Paraiba;Institutos Federais, Cefet's e Colégio Pedro II;IFPB;Instituto Federal da Paraíba;3131;0,38740410789408564;0,43882270497547304;4004;947;0,11717396683989112;0,49542192526602324
2020;Nordeste;PB;Paraíba;Universidades Federais;UFCG - ETSC;Universidade Federal de Campina Grande;51;0,51;0,5425531914893618;43;6;0,06;0,43
2020;Nordeste;PB;Paraíba;Universidades Federais;UFPB - CAVN;Universidade Federal da Paraíba;148;0,43023255813953487;0,4484848484848485;182;14;0,040697674418604654;0,5290697674418605
2020;Nordeste;PB;Paraíba;Universidades Federais;UFPB - ETS;Universidade Federal da Paraíba;164;0,543046357615894;0,5836298932384342;117;21;0,0695364238410596;0,38741721854304634
2020;Nordeste;PE;Pernambuco;Institutos Federais, Cefet's e Colégio Pedro II;IF SERTÃO-PE;Instituto Federal do Sertão Pernambucano;1565;0,4317241379310345;0,4607006181925228;1832;228;0,06289655172413793;0,5053793103448276
2020;Nordeste;PE;Pernambuco;Institutos Federais, Cefet's e Colégio Pedro II;IFPE;Instituto Federal de Pernambuco;2973;0,3440972222222222;0,41160182749550045;4250;1417;0,16400462962962964;0,49189814814814814
2020;Nordeste;PE;Pernambuco;Universidades Federais;UFRPE - CODAI;Universidade Federal Rural de Pernambuco;214;0,45726495726495725;0,4942263279445727;219;35;0,07478632478632478;0,46794871794871795
2020;Nordeste;PI;Piauí;Institutos Federais, Cefet's e Colégio Pedro II;IFPI;Instituto Federal do Piauí;4016;0,4993161755563844;0,5335459014215491;3511;516;0,06415516598284222;0,4365286584607733
2020;Nordeste;PI;Piauí;Universidades Federais;UFPI - CABJ;Universidade Federal do Piauí;72;0,24324324324324326;0,27692307692307694;188;36;0,12162162162162163;0,6351351351351351
2020;Nordeste;PI;Piauí;Universidades Federais;UFPI - CAT;Universidade Federal do Piauí;148;0,4983164983164983;0,5229681978798587;135;14;0,04713804713804714;0,45454545454545453
2020;Nordeste;PI;Piauí;Universidades Federais;UFPI - CTF;Universidade Federal do Piauí;90;0,6666666666666666;0,6976744186046512;39;6;0,044444444444444446;0,28888888888888886
