dCalendário[Ano];d_IES[Região];d_IES[UF];d_IES[Estado];d_IES[Organização Acadêmica];dimUnidade[Instituicao];d_IES[Instituição (Nome)];dimCurso[nomeCurso];dimCurso[tipoCurso];Número de cursos;Número de concluintes;Número de vagas
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Agroecologia;Tecnologia;2;15;81
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Alimentos;Tecnologia;1;;43
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Assistente Administrativo;Qualificação Profissional (FIC);1;43;80
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Assistente de Costura;Qualificação Profissional (FIC);1;12;22
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Assistente Financeiro;Qualificação Profissional (FIC);1;13;30
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Automação Industrial;Tecnologia;1;;36
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Auxiliar Pedagógico;Qualificação Profissional (FIC);1;;51
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Ciência da Computação;Bacharelado;1;;66
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Ciências Biológicas;Licenciatura;2;;110
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Computação;Licenciatura;1;;
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Dança;Licenciatura;3;29;75
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Design de Moda;Tecnologia;1;;32
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Espanhol Básico;Qualificação Profissional (FIC);9;141;220
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Espanhol Intermediário;Qualificação Profissional (FIC);2;12;30
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Especialização - Gestão e Negócios;Especialização (Lato Sensu);3;20;45
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Eventos;Tecnologia;1;;80
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Física;Licenciatura;1;;42
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Gestão Pública;Tecnologia;2;14;188
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Inglês Básico;Qualificação Profissional (FIC);11;21;202
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Inglês Intermediário;Qualificação Profissional (FIC);2;4;39
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Letras - Língua Estrangeira;Licenciatura;2;4;148
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Letras - Língua Portuguesa;Licenciatura;1;1;45
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Licenciatura Para A Educação Profissional, Científica e Tecnológica;Licenciatura;2;27;
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Língua Brasileira de Sinais (Libras) ­ Avançado;Qualificação Profissional (FIC);1;;150
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Língua Brasileira de Sinais (Libras) ­ Básico;Qualificação Profissional (FIC);7;168;292
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Língua Brasileira de Sinais (Libras) ­ Intermediário;Qualificação Profissional (FIC);5;165;159
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Língua Portuguesa e Cultura Brasileira para Estrangeiros ­ Básico;Qualificação Profissional (FIC);2;29;99
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Logística;Tecnologia;1;1;46
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Matemática;Licenciatura;2;;100
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Microempreendedor Individual (Mei);Qualificação Profissional (FIC);1;13;40
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Músico de Banda;Qualificação Profissional (FIC);3;79;125
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Operador de Computador;Qualificação Profissional (FIC);4;81;179
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Operador de Processamento de Frutas e Hortaliças;Qualificação Profissional (FIC);1;;20
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Padeiro;Qualificação Profissional (FIC);1;;20
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Pedagogia;Licenciatura;1;;50
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Processos Gerenciais;Tecnologia;1;;40
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Projetista de Móveis;Qualificação Profissional (FIC);1;5;
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Qualificação Profissional - Desenvolvimento Educacional e Social;Qualificação Profissional (FIC);6;154;277
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Qualificação Profissional - Gestão e Negócios;Qualificação Profissional (FIC);2;73;115
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Qualificação Profissional - Informação e Comunicação;Qualificação Profissional (FIC);3;55;110
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Qualificação Profissional - Produção Cultural e Design;Qualificação Profissional (FIC);1;27;40
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Química;Licenciatura;2;7;50
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Reformador de Móveis;Qualificação Profissional (FIC);2;36;70
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Secretariado;Tecnologia;1;;46
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Sistemas Para Internet;Tecnologia;1;;76
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Administração;Técnico;10;236;116
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Agroindústria;Técnico;3;8;70
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Agronegócio;Técnico;1;13;
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Agropecuária;Técnico;4;95;362
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Alimentos;Técnico;1;18;30
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Artesanato;Técnico;1;;80
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Comércio;Técnico;1;35;160
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Controle Ambiental;Técnico;2;66;155
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Cooperativismo;Técnico;1;1;
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Cozinha;Técnico;3;58;160
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Design de Móveis;Técnico;1;;25
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Edificações;Técnico;3;39;281
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Eletromecânica;Técnico;3;16;122
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Eletrônica;Técnico;1;13;
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Equipamentos Biomédicos;Técnico;2;26;84
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Eventos;Técnico;2;38;343
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Hospedagem;Técnico;1;;40
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Informática;Técnico;3;9;131
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Logística;Técnico;5;167;220
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Manutenção Automotiva;Técnico;2;;103
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Manutenção e Suporte em Informática;Técnico;1;6;124
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Meio Ambiente;Técnico;5;79;
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Móveis;Técnico;1;10;70
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Multimeios Didáticos;Técnico;4;93;
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Panificação;Técnico;1;36;40
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Química;Técnico;2;8;31
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Restaurante e Bar;Técnico;1;;40
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Secretaria Escolar;Técnico;5;237;134
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Secretariado;Técnico;2;79;219
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Segurança do Trabalho;Técnico;6;304;101
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Serviços Públicos;Técnico;7;147;182
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Vestuário;Técnico;2;26;66
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Adestrador de Cães;Qualificação Profissional (FIC);2;13;20
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Agente de Assistência Técnica e Extensão Rural;Qualificação Profissional (FIC);1;4;4
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Agente de Regularização Ambiental Rural;Qualificação Profissional (FIC);1;11;11
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Agricultor Orgânico;Qualificação Profissional (FIC);1;50;50
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Agronegócio;Tecnologia;2;49;40
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Agronomia;Bacharelado;5;114;166
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Alimentos;Tecnologia;2;13;70
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Análise e Desenvolvimento de Sistemas;Tecnologia;2;21;42
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Artesão em Bordado à Mão;Qualificação Profissional (FIC);1;;30
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Auxiliar Pedagógico;Qualificação Profissional (FIC);1;34;44
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Avicultor;Qualificação Profissional (FIC);1;15;16
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Bovinocultor de Leite;Qualificação Profissional (FIC);2;34;43
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Cabeleireiro;Qualificação Profissional (FIC);1;9;10
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Cadista para a Construção Civil;Qualificação Profissional (FIC);1;8;
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Ciência da Computação;Bacharelado;3;;90
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Ciências Biológicas;Bacharelado;1;;50
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Ciências Biológicas;Licenciatura;3;63;120
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Contador de Histórias;Qualificação Profissional (FIC);1;13;13
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Doutorado - Recursos Naturais;Doutorado;1;10;14
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Engenharia Agrícola;Bacharelado;1;14;41
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Engenharia Ambiental;Bacharelado;1;25;50
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Engenharia Civil;Bacharelado;1;;50
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Engenharia de Alimentos;Bacharelado;1;30;50
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Equideocultor;Qualificação Profissional (FIC);1;10;12
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Especialização - Desenvolvimento Educacional e Social;Especialização (Lato Sensu);9;18;270
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Especialização - Informação e Comunicação;Especialização (Lato Sensu);1;7;
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Especialização - Recursos Naturais;Especialização (Lato Sensu);1;;
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Fruticultor;Qualificação Profissional (FIC);1;7;16
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Gestão Ambiental;Bacharelado;1;;
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Gestão Comercial;Tecnologia;1;;45
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Gestão da Tecnologia da Informação;Tecnologia;1;8;30
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Inglês Básico;Qualificação Profissional (FIC);7;109;531
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Licenciatura Para A Educação Profissional, Científica e Tecnológica;Licenciatura;1;;40
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Língua Brasileira de Sinais (Libras) ­ Básico;Qualificação Profissional (FIC);2;4;68
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Língua Brasileira de Sinais (Libras) ­ Intermediário;Qualificação Profissional (FIC);1;;20
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Matemática;Licenciatura;1;8;40
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Medicina Veterinária;Bacharelado;1;;41
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Mestrado - Recursos Naturais;Mestrado;2;65;89
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Mestrado Profissional - Desenvolvimento Educacional e Social;Mestrado Profissional;1;;21
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Mestrado Profissional - Infraestrutura;Mestrado Profissional;1;1;19
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Mestrado Profissional - Produção Alimentícia;Mestrado Profissional;1;18;22
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Mestrado Profissional - Recursos Naturais;Mestrado Profissional;4;21;101
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Operador de Computador;Qualificação Profissional (FIC);1;29;
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Operador de Processos Químicos em Mineração;Qualificação Profissional (FIC);1;11;
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Pedagogia;Licenciatura;1;14;42
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Programador Web;Qualificação Profissional (FIC);1;15;50
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Qualificação Profissional - Ambiente e Saúde;Qualificação Profissional (FIC);1;34;
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Qualificação Profissional - Controle e Processos Industriais;Qualificação Profissional (FIC);1;18;20
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Qualificação Profissional - Desenvolvimento Educacional e Social;Qualificação Profissional (FIC);7;230;215
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Qualificação Profissional - Gestão e Negócios;Qualificação Profissional (FIC);3;46;61
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Qualificação Profissional - Informação e Comunicação;Qualificação Profissional (FIC);3;81;39
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Qualificação Profissional - Produção Alimentícia;Qualificação Profissional (FIC);1;10;10
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Qualificação Profissional - Produção Cultural e Design;Qualificação Profissional (FIC);1;;40
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Qualificação Profissional - Recursos Naturais;Qualificação Profissional (FIC);2;128;144
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Qualificação Profissional - Segurança;Qualificação Profissional (FIC);2;108;60
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Química;Licenciatura;5;44;205
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Salgadeiro;Qualificação Profissional (FIC);1;37;40
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Saneamento Ambiental;Tecnologia;1;13;40
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Sistemas de Informação;Bacharelado;2;;80
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Sistemas Para Internet;Tecnologia;1;2;30
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Técnico em Açúcar e Álcool;Técnico;2;178;
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Técnico em Administração;Técnico;19;906;466
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Técnico em Agroindústria;Técnico;1;5;
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Técnico em Agropecuária;Técnico;21;499;1071
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Técnico em Alimentos;Técnico;4;30;135
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Técnico em Automação Industrial;Técnico;2;21;
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Técnico em Biotecnologia;Técnico;3;27;180
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Técnico em Comércio;Técnico;4;43;83
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Técnico em Contabilidade;Técnico;2;76;102
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Técnico em Desenvolvimento de Sistemas;Técnico;1;;39
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Técnico em Edificações;Técnico;5;37;96
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Técnico em Eletrotécnica;Técnico;3;17;40
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Técnico em Eventos;Técnico;3;22;50
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;Técnico em Finanças;Técnico;3;57;
